微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
L9XFt0Fna,一千个人眼中有一千个哈姆雷特，食人族以此为由收取了两倍的价钱。——@张文盲-  ,,无,无,无,2022-01-09 15:00,微博 weibo.com,888,14,60
L9Xh7lthx,diss尼乐园是否涉及种族歧视——@是啊那不然呢  ,,无,无,无,2022-01-09 14:00,微博 weibo.com,3063,94,103
L9WSLloJm,铭记一个人是在自己的心中判他无期徒刑。——@默然夜  ,,无,无,无,2022-01-09 13:00,微博 weibo.com,1011,116,68
L9WupoC9b,情人节的垃圾桶里会有鲜花，所以我也会拥有你。——@默然夜  ,,无,无,无,2022-01-09 12:00,微博 weibo.com,1716,148,79
L9W641hwA,康师傅是不是快倒闭了，不然怎么处处嗅到统一的味道——@赞迪  ,,无,无,无,2022-01-09 11:00,微博 weibo.com,4949,236,101
L9VHHabhQ,王子日人就成了旺仔。——@我仍未知道那天所调戏妹子的名字  ,,无,无,无,2022-01-09 10:00,微博 weibo.com,501,11,63
L9VjltSAn,老王旅行看似不经意却经过了整个意大利。——@我仍未知道那天所调戏妹子的名字  ,,无,无,无,2022-01-09 09:00,微博 weibo.com,1629,44,45
L9UUYDRCS,人在做，天在看。天在做，人打伞。——@我仍未知道那天所调戏妹子的名字  ,,无,无,无,2022-01-09 08:00,微博 weibo.com,1406,25,98
L9RnMFnCg,有些鞋说自己有踩屎感，其实没有；有些鞋没说，但有一天会突然拥有。——@圣诞在逃雪人  ,,无,无,无,2022-01-08 23:00,微博 weibo.com,948,10,62
L9QZsfG3R,谁能想到这张价值两元的彩票下一秒就变成了废纸。——@怎能够给生活打败  ,,无,无,无,2022-01-08 22:00,微博 weibo.com,1147,12,45
L9QB5BJVm,虚拟偶像怎么缴税？用比特币吗——@Ransonn  ,,无,无,无,2022-01-08 21:00,微博 weibo.com,1451,10,76
L9QcKjUml,“实践是最好的老师。”备考法考的小王对看守所民警说道。——@文家熙55816  ,,无,无,无,2022-01-08 20:00,微博 weibo.com,1040,27,27
L9POokV3g,↑头像 ↑时间 来源↑↓破折号 ↓投稿人  ——@吃花椒旳冰冰  ,,无,无,无,2022-01-08 19:00,微博 weibo.com,4653,146,150
L9Pq1epPk,步枪上的刺刀能过安检吗？——@新镧风  ,,无,无,无,2022-01-08 18:00,微博 weibo.com,1483,18,58
L9P1FvVwj,全球变暖是事实！海平面正在上升！现在采取行动还不晚！——游泳班招生广告——@新镧风  ,,无,无,无,2022-01-08 17:00,微博 weibo.com,888,11,44
L9ODjvQD3,海底火山爆发一定是地球母亲想吃海底捞了吧——@姜云升昨晚力度刚好  ,,无,无,无,2022-01-08 16:00,微博 weibo.com,7738,721,803
L9OeZ3WKx,弱智吧投稿成功率相当于sci一区论文了，为啥我投中那么多稿还不给我毕业？——@凡人皆有徳意日  ,,无,无,无,2022-01-08 15:00,微博 weibo.com,2132,24,90
L9NQCf2rV,"司马睿二次建立晋朝,谥号元帝,时人叹曰:司马二次元——@凡人皆有徳意日  ",,无,无,无,2022-01-08 14:00,微博 weibo.com,2806,215,83
L9NsgcKyH,你们吃隐形眼镜喝不喝里面的汤的？——@凡人皆有徳意日  ,,无,无,无,2022-01-08 13:00,微博 weibo.com,1409,30,90
L9N3UBYbF,为了重现犯罪现场，王警官正在联系受害者和嫌疑人过来。——@一笑清魂  ,,无,无,无,2022-01-08 12:00,微博 weibo.com,1169,15,38
L9MFxsadW,“我一点都不不困。”我催眠自己道。——@一阜平冈  ,,无,无,无,2022-01-08 11:00,微博 weibo.com,457,6,22
L9Mhd0gUG,突然发现自己是铁粉，我赶紧把微博给还原了。——@Ameftn  ,,无,无,无,2022-01-08 10:00,微博 weibo.com,2783,91,86
L9LSQoxfR,想变成咸鱼，这样就会有猫围着我转了——@dogfar42467  ,,无,无,无,2022-01-08 09:00,微博 weibo.com,1101,39,60
L9Lutve0m,“我想起来了！”失忆症患者说着翻身下了床。——@爬墙冻冻  ,,无,无,无,2022-01-08 08:00,微博 weibo.com,1604,40,51
L9JwIAafe,由 生界 开往 死界 的 熬夜猝死 列车即将开始检票——@飘浮U0  ,,无,无,无,2022-01-08 03:00,微博 weibo.com,1708,204,140
L9IeypFKP,#弱智吧每周最佳# 2021年第48周，还是四选一1.货车司机老刘连续开车开了三个月没有休息，老板安慰他说：“你别想不开”2.能让人快乐的东西，例如：烟，酒，都会损害寿命，那么是不是让人不快乐的东西就是生命本身呢?3.“你是不是很会拆台，来表演一个”“不会”4.死亡是一个长长的队伍，但是...全文 ,,无,无,无,2022-01-07 23:42,无,16278,175,240
L9HXisaCa,“人非圣贤孰能无过？”小龙女这样说——@磨砂小羊  ,,无,无,无,2022-01-07 23:00,微博 weibo.com,780,6,51
L9HyX3K1E,降噪耳机的普及，人们获得了放屁自由——@llchier_  ,,无,无,无,2022-01-07 22:00,微博 weibo.com,727,9,53
L9HaB5QB9,今日生活小贴士，教你一步简单告别睡眠呼吸暂停综合征：告别睡眠，或者告别呼吸——@九冢狐_RDJ  ,,无,无,无,2022-01-07 21:00,微博 weibo.com,516,12,26
L9GMfpzgk,为什么SKT是烧烤摊不叫BBQ呢？——@呆头鹅一v一  ,,无,无,无,2022-01-07 20:00,微博 weibo.com,593,20,28
L9GnTrGUQ,我求自己过几天阳间日子吧，不然就过不了几天阳间日子了。——@粽粽不清楚  ,,无,无,无,2022-01-07 19:00,微博 weibo.com,849,30,34
L9FZB2L8l,“不许射射！”肯尼迪夫人对周围大喊道——@水娃多喝热水  ,,无,无,无,2022-01-07 18:00,微博 weibo.com,2450,77,125
L9FBd5duG,看得出来老家的老式大钟不想再工作了，于是它摆烂了。——@寄一山青  ,,无,无,无,2022-01-07 17:00,微博 weibo.com,590,10,26
L9FcPwWr8,穿上不合脚的鞋手机上的步数显示就变成了我的痛觉计数器——@nikiwonder  ,,无,无,无,2022-01-07 16:00,微博 weibo.com,1871,41,61
L9F6JjgNR,“我学编程都是为了你好”程序员对世界说道——@AllForCoconutWater  ,,无,无,无,2022-01-07 15:45,微博 weibo.com,1354,98,72
L9F0FaLan,我的失败说他不想生孩子——@水龙敬乐园售票处  ,,无,无,无,2022-01-07 15:30,微博 weibo.com,1357,41,83
L9EPZfufG,“用天眼查看公司内部情况也犯法吗？”因涉嫌偷窥被拘留的杨戬疑惑地问道。——@东方月猪  ,,无,无,无,2022-01-07 15:03,微博 weibo.com,1346,21,41
L9EqQiVDj,那些喝水都胖的 你们也许是植物 ——@小坤也叫马呜呜  ,,无,无,无,2022-01-07 14:01,无,990,37,56
L9E4Xq005,小明起床后觉得世界一片灰暗，原来是忘记戴有色眼镜了。 ——@雲升月墨  ,,无,无,无,2022-01-07 13:07,无,834,43,52
L9DGmjyIh,出现听力问题的老王现在只能听流言。——@饭希fanxi  ,,无,无,无,2022-01-07 12:07,无,1480,38,65
L9D9mAOTy,被理发师给自己理的新发型丑死了算自杀还是他杀——@你妈妈给你送来了旺仔牛奶  ,,无,无,无,2022-01-07 10:46,无,862,12,83
L9yrGwg3O,王警官看着躺在地上扮演死尸的演员，不禁推理道：“是剧本杀！” ——@你会浇花吗  ,,无,无,无,2022-01-06 22:47,无,944,4,45
L9yj0bs0r,没有人在大海里骑自行车会不会是因为水太深，把握不住 ——@UNEDEUXTROIS  ,,无,无,无,2022-01-06 22:26,无,1466,20,74
L9ycl2jM3,庄子做梦也是一种蝶中蝶。 ——@趴体_  ,,无,无,无,2022-01-06 22:09,无,1330,86,53
L9xWDDTxE,原来你想去罗马啊！那路或多！ ——@一堆黄色废料罢了  ,,无,无,无,2022-01-06 21:30,无,1335,52,66
L9xNQfMDw,“我放屁了”“你放屁，你根本没放屁” ——@人民日扳  ,,无,无,无,2022-01-06 21:09,无,872,12,72
L9xGPypsy,私塾，又叫old school ——@一堆黄色废料罢了  ,,无,无,无,2022-01-06 20:51,无,1114,31,80
L9xzGgVWx,人多力量大，大多力量夫。 ——@梗梗梗梗梗鬼  ,,无,无,无,2022-01-06 20:34,无,1130,33,58
L9xpeg6F6,《国王的新衣》讲的是如何成为光的男人的故事。——@撒密安  ,,无,无,无,2022-01-06 20:08,无,591,14,44
L9wrrjdaN,有的函数为了求极限连下限都不要了。 ——@雲升月墨  ,,无,无,无,2022-01-06 17:41,无,1550,81,72
L9wjwcMUs,现在的人满脑子都是黄色废料，不像我，都是黄色精华。 ——@新之助和破坏球都有屁屁神功  ,,无,无,无,2022-01-06 17:21,无,854,26,67
L9uLvxBU3,短视频擦边球博主经常瑟瑟发抖。 ——@宇宙级树莓酱  ,,无,无,无,2022-01-06 13:25,无,689,5,73
L9uqNmhVK,收音机也可以被称为半导铁盒。 ——@宇宙级树莓酱  ,,无,无,无,2022-01-06 12:34,无,905,33,63
L9tyv8MhP,公共厕所，又叫便民设施 ——@南风公公三号机  ,,无,无,无,2022-01-06 10:20,无,773,4,50
L9tdhxr2F,小时不识月，分钟不识周 ——@晚安饱  ,,无,无,无,2022-01-06 09:28,无,2410,35,108
L9oyUhJj2,在嘴里的口香糖让人口香，在鞋底的口香糖让人口臭——@___灵光  ,,无,无,无,2022-01-05 21:37,无,931,9,42
L9okgwwUp,∵学-思=罔，思-学=殆∴罔+殆=0∴网贷会变成0 ——@月冷千山丶  ,,无,无,无,2022-01-05 21:01,无,2526,103,138
L9o999Ikn,同时和多个人谈恋爱不花钱，花心。 ——@雲升月墨  ,,无,无,无,2022-01-05 20:34,无,1660,164,73
L9nXJ8FE9,一个想法的产生到放弃过程：首先…唉，算了不说了，反正投稿也成功不了——@Andy_Yao1974  ,,无,无,无,2022-01-05 20:06,无,769,7,33
L9nGAdl9i,订的牛奶被连续拖欠，海伦凯勒在愤怒中提笔写出了《假如给我三天光明》 ——@宇宙级树莓酱  ,,无,无,无,2022-01-05 19:23,无,3469,42,115
L9n4nv8pz,丧乐乐队也许会迟到但永远不会缺席——@一片大水塘  ,,无,无,无,2022-01-05 17:49,无,365,2,53
L9msytE6I,非亲非故的，你亲戚凭什么对你这么好？——@真不戳戳戳  ,,无,无,无,2022-01-05 16:16,无,920,1,53
L9m4achFz,美国一小偷想从窗户逃跑惨遭窗户强制升级，直到今早被捕才升级完成。——@饭希fanxi  ,,无,无,无,2022-01-05 15:16,无,888,10,47
L9lUL9JUQ,被老婆批评不搞卫生的老王尊严扫地，搞好了卫生。——@饭希fanxi  ,,无,无,无,2022-01-05 14:53,无,656,13,43
L9jdzE0Co,用餐的叫餐具，喝茶的叫茶具，那吃面的一定叫消费者吧。——@我仍未知道那天所调戏妹子的名字  ,,无,无,无,2022-01-05 08:01,无,1876,20,125
L9fYY4Hji,食人族的饭后甜品，原材料有没有可能是眼的？A. 不是B. 有可能不是C. 炖脚 ——@谐霸  ,,无,无,无,2022-01-04 23:47,无,1721,59,125
L9eUb4hOm,拒绝容貌焦虑，是不是让我们不要比脸。 ——@新之助和破坏球都有屁屁神功  ,,无,无,无,2022-01-04 21:02,无,1157,62,87
L9eh31B0E,小明三岁就学会写轮眼了，但写得不太工整。——@最后一杯耶加雪菲    ,,无,无,无,2022-01-04 19:26,无,1021,20,41
L9e57qCnE,锐角的反义词是？A钝角B钝角C不知道——@Andy_Yao1974  ,,无,无,无,2022-01-04 18:56,无,2066,15,224
L9dxU8Bz4,#弱智吧每周最佳# 2021年第47周，还是四选一1.舍友在睡觉，我开来压路机，卷死他们 2.建议以后大学生回答“论文写得怎么样了？”时，别再说“八字还没一撇”，改成“水字还没一竖钩”。 3.车祸原因：双向奔赴4.遗憾其实是一种时态，过去未完成时。 2021年第47周  ,,无,无,无,2022-01-04 17:35,无,15972,132,242
L9daKEyrH,为了应对少子化，群众响应号召在名字中添加“梓”字。 ——@阿巴阿吧日常  ,,无,无,无,2022-01-04 16:38,无,1920,21,107
L9d38qG1O,“你是言语的巨人，行动的矮子！““所以你按我说的做不就是站在巨人的肩上吗？！“——@饭希fanxi  ,,无,无,无,2022-01-04 16:19,无,1469,55,47
L9bjKnYn6,我在发呆，请大家有序排队领取。——@阿糊·  ,,无,无,无,2022-01-04 11:54,无,69187,8140,1892
L9aQAD3Iy,你的2023使用程度：0% ——@守护最好的谐音梗  ,,无,无,无,2022-01-04 10:42,无,2109,24,105
L9aEvig1q,有些人死了，但他还活着；有些蛋死了，蛋挞还活着。——@ObjectEdit  ,,无,无,无,2022-01-04 10:13,无,3124,211,109
L9ag9wtBJ,猪掉海里变海豚。 ——@號哒哒霁椑  ,,无,无,无,2022-01-04 09:13,无,1613,56,86
L9a7n0wom,飞向天空的气球会不会是人们送给天空的礼物——@LeoLeoLeo__  ,,无,无,无,2022-01-04 08:51,无,1313,15,71
L99OlDuKa,牙医专业对口。 ——@新之助和破坏球都有屁屁神功  ,,无,无,无,2022-01-04 08:04,无,1505,44,68
L96EiCTsI,商鞅投降商鞅变法 ——@守护最好的谐音梗  ,,无,无,无,2022-01-04 00:01,无,1461,57,54
L96oTkB00,野外遭遇狼群袭击只要立马拉屎就没事了，因为屎克狼 ——@人民日扳  ,,无,无,无,2022-01-03 23:23,无,3282,100,118
L95TKfYde,美籍游客入境朝鲜被逮捕因其自称来自西八区。——@机械信徒能建造星际巴别塔吗  ,,无,无,无,2022-01-03 22:06,无,616,21,37
L94WgwvNE,读到苏轼的“明月即石油”，美国开启探月计划 ——@吴洋了二正  ,,无,无,无,2022-01-03 19:40,无,709,17,48
L92Fw4rua,人体里七成都是水？我看八成是。 ——@吸溜一碗甜豆腐脑儿  ,,无,无,无,2022-01-03 13:53,无,1307,15,70
L92hP6xkc,“何以生肖末？”猪问。 ——@谐霸  ,,无,无,无,2022-01-03 12:55,无,2214,21,71
L9224cHhJ,为了能让自己准点起床，小明设定了三个早上七点的闹钟，晚上21点才响。——@饭希fanxi  ,,无,无,无,2022-01-03 12:16,无,922,7,55
L91SFclWd,"新闻上说今天会日偏食, 患有偏食症的小明躲在家里不敢出门 ——@人民日扳  ",,无,无,无,2022-01-03 11:53,无,1033,14,48
L91G416Ry,“这片森林是以我的名字命名的。”马尔福指着福尔马林对哈利波特说道。 ——@宇宙级树莓酱  ,,无,无,无,2022-01-03 11:22,无,4114,260,123
L8WARADiy,“想来想去只有四个字…”孔乙己谈到茴香豆的“茴”字写法时说。——@AIPhenglove  ,,无,无,无,2022-01-02 22:25,无,1008,11,97
L8VYeDVx5,净身房 又称剪辑速成班——@司徒皮尔德  ,,无,无,无,2022-01-02 20:50,无,652,11,40
L8VCuAKXU,想当年我最常说的一句话就是好汉不提当年勇——@青矢唯  ,,无,无,无,2022-01-02 19:56,无,458,4,34
L8Vr8o3Ra,“这得什么时候才是个头啊…”去回转寿司店吃饭的食人族族长说。——@AIPhenglove  ,,无,无,无,2022-01-02 19:28,无,1206,33,46
L8UsHkrCg,吃下一张白纸，记录历屎过程。——白骨鸟语  ,,无,无,无,2022-01-02 17:00,微博 weibo.com,859,4,37
L8U4lknnH,学而不思则学，思而不学则思——米那玛特  ,,无,无,无,2022-01-02 16:00,微博 weibo.com,5036,275,123
L8TFZmv0M,物质是本源，但为什么物质的我活得好好的，精神的我却一直很痛苦——害羞の人  ,,无,无,无,2022-01-02 15:00,微博 weibo.com,2836,277,121
L8ThE0fbU,上海的教育水平不行啊，竟然连一所省重点学校都没有！——摧铩  ,,无,无,无,2022-01-02 14:00,微博 weibo.com,1841,17,112
L8SThqJJn,“对不起我有喜欢的人了”食人族族长拒绝了别人共进晚餐的邀请——用户您太长  ,,无,无,无,2022-01-02 13:00,微博 weibo.com,2520,55,56
L8SuVtXAb,查了一下网友的成分，发现居然有百分之七十的H2O——咩哈哈哈中队长  ,,无,无,无,2022-01-02 12:00,微博 weibo.com,1783,38,87
L8S6zyhbs,家丑不可外扬，那为什么你还要出门——摧铩  ,,无,无,无,2022-01-02 11:00,微博 weibo.com,6894,306,141
L8RIeaVMb,我向天空泼水，我想让天空也感受下雨的感觉——腌鱼  ,,无,无,无,2022-01-02 10:00,微博 weibo.com,900,21,63
L8RusqU4L,今天就是天王老子来了也得来个天王老子。——@我仍未知道那天所调戏妹子的名字  ,,无,无,无,2022-01-02 09:26,无,852,14,46
L8RjRy7wP,全世界的孤立主义者，联合起来！——xxxxoYY  ,,无,无,无,2022-01-02 09:00,微博 weibo.com,1941,38,64
L8QVvkPY3,鱼想不开就会上钓，想成熟就会下锅。——白骨鸟语  ,,无,无,无,2022-01-02 08:00,微博 weibo.com,1059,34,61
L8NojF2vW,罗马的罗马城和东汉的洛阳是当时最大的城市，那么和“条条大路通罗马”对应的是不是“洛必达”？——月夜魔术师  ,,无,无,无,2022-01-01 23:00,微博 weibo.com,1890,87,65
L8Ne7AvDD,#弱智吧每周最佳# 2021年第46周，还是四选一1.你这台手术成功率很高。因为这类手术成功率为10%，而我今天已经失败九台了。2.喜欢偷偷按邻居门铃的小明见四下无人，按了第五下。 3.有人大愚若智，有人等于弱智4.世界上只存在一种猫猫英雄主义：那就是在发现猫猫没有那么爱你后，你依...全文 ,,无,无,无,2022-01-01 22:34,无,25116,200,288
L8MZYfvZb,我买了个西瓜回来，打开后，发现里面掺了好多水——我叫铲墙人  ,,无,无,无,2022-01-01 22:00,微博 weibo.com,877,4,79
L8MBCze2W,“怎么才五成啊？”“五成？五成是人家的”——洗发水沐浴’  ,,无,无,无,2022-01-01 21:00,微博 weibo.com,2847,77,99
L8MdgkPNp,生肖只有12个，那过完12个的人该怎么办——嗐说周树入  ,,无,无,无,2022-01-01 20:00,微博 weibo.com,1577,5,88
L8LOVf65Z,：廉颇老矣，尚能饭否？：有点柴不过挺入味的——桃核火车  ,,无,无,无,2022-01-01 19:00,微博 weibo.com,1440,25,54
L8LxLdjhj,今天距2021年就差一天了，在这里我祝大家2021年快乐——鼠人十三  ,,无,无,无,2022-01-01 18:17,无,1920,79,56
L8LqymT2F,<<教你合法避开人头税>>——刑天——长坂战神刘禅  ,,无,无,无,2022-01-01 18:00,微博 weibo.com,1175,10,33
L8L2d3WmL,乾隆89岁，雍正58岁，为什么乾隆要管雍正叫爸爸？——芝士轻黏  ,,无,无,无,2022-01-01 17:00,微博 weibo.com,3184,29,95
L8KDQtkYF,我爸娶了我妈那我岂不是要叫他妈夫了？我发现了礼法在称呼这块的真空——长坂战神刘禅  ,,无,无,无,2022-01-01 16:00,微博 weibo.com,5492,251,164
L8Kfw1pTC,"""何不食肉糜?""食人族向吸血鬼问道——钼韧  ",,无,无,无,2022-01-01 15:00,微博 weibo.com,1577,31,50
L8JR9qNSd,我的人生终于有了360°的转机——桃核火车  ,,无,无,无,2022-01-01 14:00,微博 weibo.com,1393,37,68
L8JsNv8kh,笑死，地球是球体，你倒是说说球门在哪啊——长坂战神刘禅  ,,无,无,无,2022-01-01 13:00,微博 weibo.com,1076,7,68
L8J4qBOeB,植物油是压榨出来的，动物油是煎炸出来的，血汗钱是防诈保住的。——白骨鸟语  ,,无,无,无,2022-01-01 12:00,微博 weibo.com,1104,14,40
L8IG6c7dx,时间会不会是一个矢量？我从此刻出发，奔向不同的未来——群星归宿  ,,无,无,无,2022-01-01 11:00,微博 weibo.com,2508,308,113
L8IhJiMXQ,为了避免参加钢琴课外班培训被抓，可以谎称自己嫖娼以减少损失——100vicecity  ,,无,无,无,2022-01-01 10:00,微博 weibo.com,1128,9,36
L8HTnjOll,用一个成语来形容合肥：辽胜于吴——月夜魔术师  ,,无,无,无,2022-01-01 09:00,微博 weibo.com,804,68,53
L8Hv17Dvs,江湖人士隐退的地方是不是叫洗手间——兔帮主  ,,无,无,无,2022-01-01 08:00,微博 weibo.com,1587,33,64
L8DXPnssY,杜甫有言道：“万里悲秋常作客。”说明杨万里每年秋天都会来拜访杜甫，可见其善心。——叉三  ,,无,无,无,2021-12-31 23:00,微博 weibo.com,905,11,44
L8Dzu2jGZ,一举重选手在两次试举失败后捐出所有财产，用穷举法举重成功——鼠人十三  ,,无,无,无,2021-12-31 22:00,微博 weibo.com,737,14,28
L8Db8m0pF,一对cp的骨灰也就是cp粉。——张脑丸  ,,无,无,无,2021-12-31 21:00,微博 weibo.com,1559,149,45
L8CMKzto8,和本格弱智对应的，是不是格外弱智？——月夜魔术师  ,,无,无,无,2021-12-31 20:00,微博 weibo.com,860,15,64
L8CopfpH2,你知不知道我表面上是什么 我表面上是时针分针秒针——death亮兵器吧  ,,无,无,无,2021-12-31 19:00,微博 weibo.com,812,22,38
L8BX67wbH,我把教徒送往天堂让他们去享福，为什么要判我死刑。——小小肥宗  ,,无,无,无,2021-12-31 17:52,微博 weibo.com,1114,11,39
L8AHXfbGt,舍不得2021年，如果有13月就好了。所以，明年的1月可以装个13吗？——@闻名嬛禹rsd  ,,无,无,无,2021-12-31 14:42,无,879,7,62
L8uI5t3zd,劫匪表示自己抢的钱还会存回银行，是双赢。——@饭希fanxi  ,,无,无,无,2021-12-30 23:26,无,1427,23,68
L8uAY0g7l,为分担将士们的压力，曹操决定把并联改为串联。——@饭希fanxi  ,,无,无,无,2021-12-30 23:08,无,919,22,58
L8sG689RP,连体婴儿看见爸爸真可谓是个双项奔父。 ——@宇宙级树莓酱  ,,无,无,无,2021-12-30 18:16,无,1423,27,44
L8swe9cVQ,查理一世喝茶理宜世后对茶礼一试在茶里遗矢——@Eertree  ,,无,无,无,2021-12-30 17:51,无,1046,14,60
L8shF9ZzO,《斗罗台湾》唐家三小著。——@我仍未知道那天所调戏妹子的名字  ,,无,无,无,2021-12-30 17:15,无,758,19,54
L8rZvyJn3,我早就知道《蜘蛛侠3》里应当会有三个蜘蛛侠，因为蜘3当三。——@狂舞的金牛  ,,无,无,无,2021-12-30 16:31,无,1143,18,77
L8rDK5kzo,“大哥没有书！”关羽对着去刘备房间找黄书的张飞大吼道。——@司徒皮尔德  ,,无,无,无,2021-12-30 15:37,无,692,14,48
L8qBejvPt,只见表白成功的鲤鱼一个鲤鱼dating。 ——@宇宙级树莓酱  ,,无,无,无,2021-12-30 12:58,无,1060,107,61
L8qctcsnv,别再抱怨自己到死都没人爱了，信乐团说了死了的他们都爱 ——@人民日扳  ,,无,无,无,2021-12-30 11:57,无,1086,17,67
L8pXD2Nlb,经过一年的减肥，成功从一百八十斤瘦到了九十五公斤，效果喜人。 ——@美丽美丽很美丽特别美丽  ,,无,无,无,2021-12-30 11:21,无,1447,25,83
L8oGbtb3c,我是一个听得进去批评的人你可以夸我帅，也可以骂我帅 ——@守护最好的谐音梗  ,,无,无,无,2021-12-30 08:05,无,2488,50,109
L8lj0lzXN,又叫又叫也叫，也叫也叫又叫，也叫又叫又叫，又叫也叫也叫 ——@瓜瓜西r  ,,无,无,无,2021-12-29 23:30,微博 weibo.com,4903,234,204
L8l6Q1Anr,你们上大学的时候都是怎么找到404教室的？ ——@狂犬姜萤萤  ,,无,无,无,2021-12-29 23:00,微博 weibo.com,3227,61,115
L8kIu1vOB,做梦梦到自己是弱智，幸亏梦是反的，醒来后发现自己是傻强——@一只筐  ,,无,无,无,2021-12-29 22:00,微博 weibo.com,953,30,71
L8kk7pMnr,如果给音乐求微积分，每个音符是不是就是音乐的斜率了呢 ——@gnosssc  ,,无,无,无,2021-12-29 21:00,微博 weibo.com,1773,61,109
L8jVM4ES7,将互不友好条约撕毁相当于没有撕毁 ——@星明紫鹤  ,,无,无,无,2021-12-29 20:00,微博 weibo.com,829,8,42
L8jPigPM1,#弱智吧每周最佳# 2021年第45周，还是四选一1.网络上nt多是正常的，毕竟Internet里面都有两个nt2.孟子认为性本善，荀子认为性本恶，而东北人认为银杏这种东西是逐渐发烂发臭的3.年级：2017学院：翻译系：广东人4.原来公司是温暖的大家庭啊，我说我怎么是孙子呢 2021年第45周  ,,无,无,无,2021-12-29 19:44,无,15977,111,254
L8jxpu1xu,是不是因为梦里太美好了，为了平衡，现实才很糟糕呢 ——@白夜染殇  ,,无,无,无,2021-12-29 19:00,微博 weibo.com,1658,202,72
L8j94dhZj,我有拖延症，但我决定放弃纠正拖延症的时候十分果断，所以我没有拖延症——@罪孽永生  ,,无,无,无,2021-12-29 18:00,微博 weibo.com,720,21,33
L8iKHgG4A,"""物理实验题 /每测一次电动势和内阻 /就会有一个理想电源 /失去理想 /"" ——@用户7124275089  ",,无,无,无,2021-12-29 17:00,微博 weibo.com,1019,82,51
L8imliNXh,买东西不需要理由，只需要钱 ——@百川东去尔西之  ,,无,无,无,2021-12-29 16:00,微博 weibo.com,917,42,44
L8hY0hstc,“为什么雷公电母创造的电是直流电呢？”————“因为老夫老妻不交流 ——匿名  ,,无,无,无,2021-12-29 15:00,微博 weibo.com,772,7,48
L8hzExS0V,为什么那么多人都建议单投呢？我有两个头不可以吗？ ——@TEChi梨奈  ,,无,无,无,2021-12-29 14:00,微博 weibo.com,875,4,80
L8hbiB5Eh,会不会其实我是克隆人，每天克隆着昨天的自己 ——@今天是蓝白条纹  ,,无,无,无,2021-12-29 13:00,微博 weibo.com,910,52,62
L8gMX1Fkj,“这水龙头怎样才能出水啊”哪吒戳了戳敖丙的头如此问到 ——@肆墓_Thmoo  ,,无,无,无,2021-12-29 12:00,微博 weibo.com,2246,27,102
L8goAr2KP,破防的次数太多而导致不会破防是否属于一种破防 ——@失眠小安  ,,无,无,无,2021-12-29 11:00,微博 weibo.com,780,18,39
L8g0f1v4E,有和贵干 是四字H文 ——@欢迎春风  ,,无,无,无,2021-12-29 10:00,微博 weibo.com,954,11,101
L8fBTk7RU,众所周知，同性相斥异性相吸，那么同性恋和异性恋为什么不会相吸呢 ——@好屑人  ,,无,无,无,2021-12-29 09:00,微博 weibo.com,1620,9,96
L8fdx6Qhx,灵是录的反义词。 ——@橘与苦杏仁  ,,无,无,无,2021-12-29 08:00,微博 weibo.com,1522,29,89
L8bCFDHox,唐僧师徒四人历经九九八十一难，终于到达西天取回了九九乘法表。——@鹭宫Robo_3型  ,,无,无,无,2021-12-28 22:51,微博 weibo.com,896,11,45
L8bvM5kOM,现在的广告挺会找人的，我打开wb都是闭眼入的——@正太摩多摩多  ,,无,无,无,2021-12-28 22:34,微博 weibo.com,4994,117,103
L8boS8wp7,我的辞职信：一不做二不休，我选一。——@Passion-Fool  ,,无,无,无,2021-12-28 22:17,微博 weibo.com,1368,90,49
L8bhQgjZI,在心理学基础的课堂：老师在台上讲梦，我在台下做梦——@拥有三滴水的小雨点儿  ,,无,无,无,2021-12-28 21:59,微博 weibo.com,697,14,45
L8b7VqDZ5,夏天在上周/冬天在这周/春秋在东周——@Aomamme  ,,无,无,无,2021-12-28 21:35,微博 weibo.com,1022,56,54
